algorithm,dataset_type,size,rank_label,k,trial_count,median_time_seconds,mean_time_seconds,standard_deviation_seconds,minimum_time_seconds,maximum_time_seconds,comparisons,swaps,partition_calls,pivot_selections,recursive_calls,maximum_depth,groups_processed,small_group_sorts,status,error_message
Randomized Quickselect,sorted,10000,minimum,1,5,0.002016166996327229,0.002028350398177281,1.7979916641808754e-05,0.0020112920028623194,0.0020535840012598783,22537,9979,10,10,11,11,0,0,completed,
Randomized Quickselect,sorted,10000,median,5000,5,0.005327000006218441,0.005321500002173707,1.7921251244781066e-05,0.005298417003359646,0.0053416250011650845,69724,28269,14,14,14,14,0,0,completed,
Randomized Quickselect,sorted,10000,p90,9000,5,0.0037967919997754507,0.0037932835999527014,5.523100965394816e-06,0.0037830419969395734,0.0037976669991621748,47257,18309,19,19,19,19,0,0,completed,
Randomized Quickselect,reverse_sorted,100,minimum,1,5,4.329100192990154e-05,4.427499807206914e-05,1.4859577421775206e-06,4.304199683247134e-05,4.679199628299102e-05,365,83,9,9,10,10,0,0,completed,
Randomized Quickselect,reverse_sorted,100,median,50,5,4.141700628679246e-05,4.143340192968026e-05,1.357033724731893e-07,4.124999395571649e-05,4.166600410826504e-05,339,104,6,6,6,6,0,0,completed,
Randomized Quickselect,reverse_sorted,100,p90,90,5,3.825000021606684e-05,3.824180021183565e-05,1.6137467854834245e-07,3.804099833359942e-05,3.8459002098534256e-05,334,118,6,6,6,6,0,0,completed,
Randomized Quickselect,reverse_sorted,1000,minimum,1,5,0.0002950409980257973,0.00029307479999260975,2.9058438776585715e-06,0.0002891249969252385,0.0002957500037155114,3314,1021,9,9,10,10,0,0,completed,
Randomized Quickselect,reverse_sorted,1000,median,500,5,0.0005987080003251322,0.0006060249987058341,1.3452649241017368e-05,0.000593415999901481,0.0006240840011741966,6901,3303,15,15,16,16,0,0,completed,
Randomized Quickselect,reverse_sorted,1000,p90,900,5,0.0002859579981304705,0.0002875582023989409,2.1653893142536407e-06,0.00028575000033015385,0.00029112500487826765,3287,1179,7,7,7,7,0,0,completed,
Randomized Quickselect,reverse_sorted,3500,minimum,1,5,0.0007910409985925071,0.0008007493990589865,1.3763195528521288e-05,0.0007884160004323348,0.0008195409973268397,8843,3484,9,9,10,10,0,0,completed,
Randomized Quickselect,reverse_sorted,3500,median,1750,5,0.0014362080037244596,0.0014402250017155893,8.979482615893863e-06,0.001432917000784073,0.0014578750051441602,17516,5905,13,13,13,13,0,0,completed,
Randomized Quickselect,reverse_sorted,3500,p90,3150,5,0.0009447080010431819,0.0009472083969740197,4.858402768988243e-06,0.0009420419955858961,0.0009544169952278025,9833,4574,7,7,7,7,0,0,completed,
Randomized Quickselect,reverse_sorted,5000,minimum,1,5,0.0014288749953266233,0.0014368916003149935,1.9442111405783197e-05,0.0014222500030882657,0.0014753750001545995,15356,7424,7,7,7,7,0,0,completed,
Randomized Quickselect,reverse_sorted,5000,median,2500,5,0.0022047500024200417,0.0022126499985461122,1.3980522428888568e-05,0.002199333997850772,0.0022357079942594282,27014,8742,13,13,14,14,0,0,completed,
